id,date,store_nbr,family,sales,onpromotion,transactions,dcoilwtico,city,state,type,cluster,is_holiday,rolling_avg_7,rolling_avg_14,sales_lag_1,sales_lag_7,sales_lag_14
159554,2013-03-31,35,SEAFOOD,2.0,0,586.0,97.24,Playas,Guayas,C,3,0,1.5714285714285714,1.7857142857142858,3.0,2.0,1.0
435417,2013-09-02,26,HOME AND KITCHEN I,0.0,0,903.0,107.98,Guayaquil,Guayas,D,10,0,0.0,0.0,0.0,0.0,0.0
831415,2014-04-13,37,GROCERY II,36.0,0,1275.0,103.68,Cuenca,Azuay,D,2,0,40.57142857142857,45.0,32.0,53.0,44.0
386298,2013-08-05,48,AUTOMOTIVE,10.0,0,2896.0,106.61,Quito,Pichincha,A,14,0,13.571428571428571,13.285714285714286,19.0,9.0,12.0
1514518,2015-05-02,53,HOME AND KITCHEN II,5.0,0,1039.0,59.1,Manta,Manabi,D,13,0,15.714285714285714,13.928571428571429,10.0,12.0,8.0
1286802,2014-12-26,15,AUTOMOTIVE,6.0,0,1504.0,54.59,Ibarra,Imbabura,C,15,1,3.0,3.5,2.0,2.0,6.0
2553807,2016-12-07,15,BEVERAGES,1683.0,56,1453.0,49.85,Ibarra,Imbabura,C,15,0,1816.2857142857144,1781.2857142857142,1911.0,1474.0,1797.0
166376,2013-04-04,27,MAGAZINES,0.0,0,1100.0,93.26,Daule,Guayas,D,1,0,0.0,0.0,0.0,0.0,0.0
2603680,2017-01-05,14,GROCERY II,2.0,0,1368.0,53.77,Riobamba,Chimborazo,C,7,0,15.142857142857142,20.785714285714285,2.0,31.0,9.0
1598207,2015-06-18,51,HOME APPLIANCES,3.0,0,1589.0,60.41,Guayaquil,Guayas,A,17,0,1.8571428571428568,1.4285714285714286,1.0,1.0,4.0
1147575,2014-10-07,9,AUTOMOTIVE,17.0,0,2220.0,88.89,Quito,Pichincha,B,6,0,17.857142857142858,16.857142857142858,5.0,16.0,8.0
